Hidden Layers,Activation Function,Learning Rate,Batch Size,MSE Loss,RMSE,R-Squared
"[32, 16]",Sigmoid,0.0001,32,11.307184505462647,3.3626156,-16.302346299599947
"[32, 16]",Sigmoid,0.0001,64,17.55130386352539,4.189428,-25.857148343117217
"[32, 16]",Sigmoid,0.0001,128,31.165611267089844,5.578142,-46.61345225686826
"[64, 32]",ReLU,0.01,16,0.5216250374913216,0.72223616,0.20180511571866255
"[64, 32]",ReLU,0.01,32,0.4523041546344757,0.67253566,0.3078804971760609
"[64, 32]",ReLU,0.01,64,0.4060529410839081,0.6372229,0.37865447545106135
"[64, 32]",ReLU,0.01,128,0.42018064856529236,0.657413,0.3386564559159232
"[64, 32]",ReLU,0.001,16,0.43013778030872346,0.6558489,0.34179965231621756
"[64, 32]",ReLU,0.001,32,0.41532025933265687,0.64445347,0.3644735604938082
"[64, 32]",ReLU,0.001,64,0.47750250101089475,0.6910156,0.26932175471634523
"[64, 32]",ReLU,0.001,128,0.46472009023030597,0.68719536,0.27737841651832396
"[64, 32]",ReLU,0.0001,16,0.47593153044581415,0.6898779,0.2717256790394871
"[64, 32]",ReLU,0.0001,32,0.6805570065975189,0.82495874,-0.04139389162575524
"[64, 32]",ReLU,0.0001,64,0.6128782391548157,0.7828654,0.062168691734432735
"[64, 32]",ReLU,0.0001,128,4.0467870235443115,1.9968234,-5.101405439225301
"[64, 32]",Tanh,0.01,16,0.666573241353035,0.81643933,-0.01999580852888827
"[64, 32]",Tanh,0.01,32,0.7654541075229645,0.87490237,-0.17130409536573254
"[64, 32]",Tanh,0.01,64,0.6628809094429016,0.81417495,-0.01434580596642232
"[64, 32]",Tanh,0.01,128,0.6457093954086304,0.81087166,-0.00613153674356659
"[64, 32]",Tanh,0.001,16,0.39643486142158507,0.62963074,0.3933721439490192
"[64, 32]",Tanh,0.001,32,0.48514201045036315,0.69652134,0.2576317325213966
"[64, 32]",Tanh,0.001,64,0.624249541759491,0.7900947,0.04476826356551755
"[64, 32]",Tanh,0.001,128,0.6428554852803549,0.8090863,-0.0017059419602527548
"[64, 32]",Tanh,0.0001,16,0.6564348667860032,0.8102067,-0.004481993681802576
"[64, 32]",Tanh,0.0001,32,0.7372410118579864,0.85862744,-0.1281321998715268
"[64, 32]",Tanh,0.0001,64,2.85693621635437,1.6902473,-3.371706925004334
"[64, 32]",Tanh,0.0001,128,8.315128962198893,2.8806672,-11.698040786007763
"[64, 32]",Sigmoid,0.01,16,0.4704902246594429,0.6859229,0.28005201694002835
"[64, 32]",Sigmoid,0.01,32,0.45216533839702605,0.67243236,0.30809291130346483
"[64, 32]",Sigmoid,0.01,64,0.5551509022712707,0.7450845,0.15050356318869162
"[64, 32]",Sigmoid,0.01,128,0.6458074450492859,0.8109245,-0.006262554090531003
"[64, 32]",Sigmoid,0.001,16,0.5822892837226391,0.76307887,0.10897619635822753
"[64, 32]",Sigmoid,0.001,32,0.6233696937561035,0.78953767,0.04611459405570406
"[64, 32]",Sigmoid,0.001,64,0.6560050487518311,0.80994135,-0.0038242937428714097
"[64, 32]",Sigmoid,0.001,128,0.8318611780802408,0.9162287,-0.28457155596958006
"[64, 32]",Sigmoid,0.0001,16,1.1464938789606094,1.0707445,-0.7543742761626564
"[64, 32]",Sigmoid,0.0001,32,2.397668981552124,1.5484408,-2.668932631636833
"[64, 32]",Sigmoid,0.0001,64,10.067699241638184,3.1729639,-14.40567577633129
"[64, 32]",Sigmoid,0.0001,128,25.753817240397137,5.0703588,-38.33941254992895
"[64, 32, 16]",ReLU,0.01,16,0.4094260007143021,0.6398641,0.37349298990375135
"[64, 32, 16]",ReLU,0.01,32,0.43405274152755735,0.6588268,0.33580894216850266
"[64, 32, 16]",ReLU,0.01,64,0.4329707622528076,0.6580052,0.33746459641686666
"[64, 32, 16]",ReLU,0.01,128,0.410985400279363,0.64933836,0.35480256885597483
"[64, 32, 16]",ReLU,0.001,16,0.4454419270157814,0.66741437,0.3183811254954745
"[64, 32, 16]",ReLU,0.001,32,0.43703881204128264,0.6610891,0.3312396552194373
"[64, 32, 16]",ReLU,0.001,64,0.4746518075466156,0.68894976,0.27368394007498154
"[64, 32, 16]",ReLU,0.001,128,0.4573710064093272,0.68250453,0.28720997553290717
"[64, 32, 16]",ReLU,0.0001,16,0.4838702708482742,0.69560784,0.2595777667786645
"[64, 32, 16]",ReLU,0.0001,32,0.5456714391708374,0.7386958,0.1650090821937089
"[64, 32, 16]",ReLU,0.0001,64,1.195106863975525,1.0932094,-0.8287622597379631
"[64, 32, 16]",ReLU,0.0001,128,6.866788228352864,2.6268818,-9.559213612527568
"[64, 32, 16]",Tanh,0.01,16,0.6589940592646599,0.8117845,-0.008398087054316106
"[64, 32, 16]",Tanh,0.01,32,0.6557319641113282,0.8097728,-0.003406414433523741
"[64, 32, 16]",Tanh,0.01,64,0.6600966453552246,0.81246334,-0.010085280360422333
"[64, 32, 16]",Tanh,0.01,128,0.6459653377532959,0.8110168,-0.0064917786349818485
"[64, 32, 16]",Tanh,0.001,16,0.6579101726412773,0.81111664,-0.006739519733164556
"[64, 32, 16]",Tanh,0.001,32,0.6581690549850464,0.8112762,-0.007135642382340324
"[64, 32, 16]",Tanh,0.001,64,0.6572415351867675,0.81070435,-0.005716359241799029
"[64, 32, 16]",Tanh,0.001,128,0.7535437742869059,0.8730921,-0.16646227878996633
"[64, 32, 16]",Tanh,0.0001,16,1.194353350996971,1.0928648,-0.8276092378147719
"[64, 32, 16]",Tanh,0.0001,32,3.7036202907562257,1.9244792,-4.6673100828774
"[64, 32, 16]",Tanh,0.0001,64,7.857666873931885,2.803153,-11.023866156031554
"[64, 32, 16]",Tanh,0.0001,128,14.542258898417154,3.8090665,-21.201769693169258
"[64, 32, 16]",Sigmoid,0.01,16,0.6014401569962502,0.7755257,0.07967136485711801
"[64, 32, 16]",Sigmoid,0.01,32,0.65356505215168,0.8084337,-9.057538825651967e-05
"[64, 32, 16]",Sigmoid,0.01,64,0.655521810054779,0.809643,-0.0030848197199664362
"[64, 32, 16]",Sigmoid,0.01,128,0.6460155248641968,0.81104326,-0.006557444636119181
"[64, 32, 16]",Sigmoid,0.001,16,0.6569000646471977,0.8104937,-0.005193823058698976
"[64, 32, 16]",Sigmoid,0.001,32,0.6576371312141418,0.8109483,-0.0063217178136014684
"[64, 32, 16]",Sigmoid,0.001,64,1.080029344558716,1.0392447,-0.6526697338753176
"[64, 32, 16]",Sigmoid,0.001,128,2.6865956783294678,1.6379275,-3.1052527636219818
"[64, 32, 16]",Sigmoid,0.0001,16,9.472566604614258,3.0777535,-13.494998728778928
"[64, 32, 16]",Sigmoid,0.0001,32,7.934443569183349,2.8168144,-11.141350326202451
"[64, 32, 16]",Sigmoid,0.0001,64,21.33384895324707,4.6188583,-31.645230933984365
"[64, 32, 16]",Sigmoid,0.0001,128,26.160499572753906,5.110329,-38.96209356532821
